Speed,Vision,Run,TTL
9.449921,10.12603,13.62372,0
9.449921,10.12603,13.62372,0
8.502017,10.12603,12.25716,0
8.502017,10.12603,12.25716,0
8.462751,10.58309,10.81505,0
7.170951,10.79218,8.687057,0
5.554306,9.491018,7.146017,0
14.17811,9.491018,18.24117,0
5.554306,9.484402,6.835816,0
8.462751,10.58309,10.81505,0
7.170951,10.79218,8.687057,0
5.554306,9.491018,7.146017,0
14.17811,9.491018,18.24117,0
5.554306,9.484402,6.835816,0
3.42255,14.01114,4.206001,0
4.693141,14.01114,6.55658,0
3.42255,14.01114,4.206001,0
4.693141,10.30868,5.76744,0
9.316865,5.95298,12.0823,0
9.316865,6.876666,12.0823,0
9.316865,7.113335,12.0823,0
11.87625,7.113335,15.40136,0
3.42255,14.01114,4.206001,0
4.693141,14.01114,6.55658,0
3.42255,14.01114,4.206001,0
4.693141,10.30868,5.76744,0
9.316865,5.95298,12.0823,0
9.316865,6.876666,12.0823,0
9.316865,7.113335,12.0823,0
11.87625,7.113335,15.40136,0
6.397717,7.32513,7.910346,0
5.055429,7.672557,7.338161,0
6.397717,12.98352,7.910346,0
6.192153,7.32513,7.656179,0
6.397717,7.32513,7.910346,0
5.055429,7.672557,7.338161,0
6.397717,12.98352,7.910346,0
6.192153,7.32513,7.656179,0
6.706475,7.761206,8.380375,0
12.2012,11.72487,18.3018,0
12.2012,7.761206,15.24655,0
6.706475,7.761206,8.380375,0
12.2012,11.72487,18.3018,0
12.2012,7.761206,15.24655,0
9.626894,11.81962,14.36297,0
8.320931,12.87536,12.41452,0
5.562183,9.576708,7.730911,0
5.562183,7.496265,7.00515,0
5.562183,7.496265,7.335227,0
13.15347,9.576708,18.28208,0
5.269765,5.38544,6.362061,0
9.649069,6.285481,11.64909,0
5.269765,5.38544,6.935215,0
9.649069,5.38544,11.64909,0
9.626894,11.81962,14.36297,0
8.320931,12.87536,12.41452,0
5.562183,9.576708,7.730911,0
5.562183,7.496265,7.00515,0
5.562183,7.496265,7.335227,0
13.15347,9.576708,18.28208,0
5.269765,5.38544,6.362061,0
9.649069,6.285481,11.64909,0
5.269765,5.38544,6.935215,0
9.649069,5.38544,11.64909,0
6.171164,11.69482,8.067296,0
3.171727,11.69482,3.84771,0
3,10.03149,4.281937,0
6.013703,10.01501,8.583432,0
6.171164,11.69482,8.067296,0
3.171727,11.69482,3.84771,0
3,10.03149,4.281937,0
6.013703,10.01501,8.583432,0
14.0698,7.643928,18.21217,0
11.5492,8.589218,14.79399,0
11.23557,12.35325,14.72933,0
13.63719,8.589218,17.72108,0
7.367249,9.744598,10.60578,0
4.552948,9.744598,6.554351,0
7.367249,9.744598,10.47639,0
14.0698,7.643928,18.21217,0
11.5492,8.589218,14.79399,0
11.23557,12.35325,14.72933,0
13.63719,8.589218,17.72108,0
7.367249,9.744598,10.60578,0
4.552948,9.744598,6.554351,0
7.367249,9.744598,10.47639,0
8.509959,10.14667,12.09082,0
8.509959,10.14667,12.09082,0
12.09414,9.973639,16.36143,0
12.09414,7.463984,16.36143,0
8.509959,10.14667,12.09082,0
8.509959,10.14667,12.09082,0
12.09414,9.973639,16.36143,0
12.09414,7.463984,16.36143,0
14.1269,14.67259,17.81998,0
15,13.96841,22.02055,0
14.1269,14.67259,17.81998,0
14.61299,14.67259,21.45241,0
14.1269,14.67259,17.81998,0
15,13.96841,22.02055,0
14.1269,14.67259,17.81998,0
14.61299,14.67259,21.45241,0
8.190289,14.54357,10.96369,0
6.947955,12.82815,9.300676,0
7.2637,14.25717,9.723339,0
8.190289,12.82815,10.96369,0
8.190289,14.54357,10.96369,0
6.947955,12.82815,9.300676,0
7.2637,14.25717,9.723339,0
8.190289,12.82815,10.96369,0
13.60455,8.351818,17.59004,0
10.8876,11.13893,14.07715,0
11.95646,11.13893,15.45914,0
13.60455,8.351818,17.59004,0
10.8876,11.13893,14.07715,0
11.95646,11.13893,15.45914,0
13.90306,8.341175,18.49081,0
13.07022,13.31789,17.07636,0
13.07022,13.26694,16.36656,0
13.90306,8.804778,19.02636,0
13.90306,8.341175,18.49081,0
13.07022,13.31789,17.07636,0
13.07022,13.26694,16.36656,0
13.90306,8.804778,19.02636,0
11.97552,14.21397,16.13263,0
11.97552,14.21397,15.45835,0
11.97552,14.21397,16.13263,0
11.97552,14.21397,15.45835,0
5.250142,10.32858,6.482328,0
6.887649,5.55536,9.302825,0
6.887649,9.62374,9.634686,0
5.250142,10.32858,6.482328,0
6.887649,5.55536,9.302825,0
6.887649,9.62374,9.634686,0
11.82025,7.230169,16.14489,0
14.15917,7.753554,17.58114,0
11.82025,7.230169,16.14489,0
14.15917,7.753554,17.58114,0
3.874633,5.88941,5.600597,0
3.874633,5.88941,5.488241,0
6.944636,7.033213,10.03814,0
3.874633,5.88941,5.488241,0
3.874633,5.88941,5.600597,0
3.874633,5.88941,5.488241,0
6.944636,7.033213,10.03814,0
3.874633,5.88941,5.488241,0
10.69107,6.728692,15.66283,0
6.339711,11.6832,9.287922,0
10.69107,11.6832,15.66283,0
4.674083,6.728692,6.629141,0
10.69107,6.728692,15.66283,0
6.339711,11.6832,9.287922,0
10.69107,11.6832,15.66283,0
4.674083,6.728692,6.629141,0
6.243495,8.523093,7.831127,0
6.243495,8.523093,7.921964,0
6.243495,8.523093,7.831127,0
7.603379,8.523093,9.647432,0
6.243495,8.523093,7.831127,0
6.243495,8.523093,7.921964,0
6.243495,8.523093,7.831127,0
7.603379,8.523093,9.647432,0
