Speed,Vision,Run,TTL
12.2012,7.761206,15.24655,0
9.237252,7.759869,12.84817,0
6.397717,7.32513,7.910346,0
11.97552,11.3918,16.13263,0
14.661,8.280345,19.87579,0
3.180396,13.59478,4.753285,0
3.266244,11.90179,4.194649,0
14.0698,8.589218,18.21217,0
6.013703,10.03149,8.583432,0
6.944636,7.033213,9.836761,0
14.61299,5.355365,21.45241,0
3.61823,10.79218,4.62395,0
12.09414,6.910703,16.36143,0
12.29056,9.751055,15.21352,0
5.554306,9.491018,7.146017,0
7.367249,9.744598,10.60578,0
4.674083,11.6832,6.847713,0
7.282804,12.90557,9.856922,0
3.171727,11.69482,3.84771,0
10.69107,6.728692,15.16289,0
11.7558,14.15955,14.3282,0
7.170951,12.66214,8.687057,0
3.055816,10.97234,4.559165,0
6.181599,11.82098,8.678142,0
13.16005,8.351818,17.01533,0
9.316865,7.113335,12.0823,0
14.1269,14.67259,17.81998,0
8.320931,12.87536,10.63307,0
13.55333,10.27972,16.31731,0
11.0244,11.28561,14.5194,0
6.532839,5.818008,7.902268,0
3.019687,12.65204,3.768958,0
6.447362,12.23174,8.654546,0
4.604409,8.190792,5.569073,0
13.45427,7.088461,16.5407,0
7.603379,8.523093,9.647432,0
11.23557,12.35325,14.60025,0
5.562183,7.496265,7.00515,0
13.56701,5.080503,18.54147,0
7.532721,8.687874,9.248206,0
8.190289,14.54357,11.48212,0
11.84043,14.21397,15.28397,0
4.693141,10.30868,6.55658,0
11.82058,6.581435,16.76279,0
8.457331,12.19104,10.72363,0
14.20832,8.208367,20.91204,0
13.56771,5.042753,19.51471,0
10.53063,13.43599,15.13811,0
13.2677,7.753554,16.47422,0
10.8217,12.71632,15.55583,0
10.39974,12.39323,13.83054,0
6.706475,10.89931,9.714139,0
9.782745,11.54096,13.4369,0
5.645401,12.28152,7.454887,0
3.874633,5.88941,5.600597,0
10.95,7.63081,14.60188,0
11.95646,11.13893,16.6862,0
13.07022,8.341175,17.38316,0
10.65691,12.82815,14.26555,0
3.088479,13.42452,4.315658,0
