Time,Population,AverageSpeed,AverageRunSpeed,AverageVision,AverageChildren,AveragePregnancy,Deaths,Births
0,100,8.659166,11.73952,9.682901,3.1,35.58,0,0
10,103,8.498403,11.48973,9.690669,3.15534,36.10875,12,15
