Time,Population,AverageSpeed,AverageRunSpeed,AverageVision,AverageChildren,AveragePregnancy,Deaths,Births
0,20,6.10423,8.276627,10.10705,3.15,36.5,0,0
10,20,6.10423,8.276627,10.10705,3.15,36.5,0,0
